疾病名称,诊断
发热,
贫血,"贫血的诊断标准是什么？
临床上一般以血液中血红蛋白浓度来评价是否发生贫血
[1]
。
我国血液病学家认为在我国海平面地区，成年男性血红蛋白 <120 g/L，成年女性（非妊娠）血红蛋白 <110 g/L，孕妇血红蛋白 <100 g/L 即为贫血
[1]
。
国外一般都以 1972 年世界卫生组织制定的诊断标准为基础，即在海平面地区，6个月到小于 6 岁的儿童血红蛋白 <110 g/L，6～14 岁儿童血红蛋白 <120 g/L，成年男性血红蛋白 <130 g/L，成年女性血红蛋白 <120 g/L，孕妇血红蛋白 <110 g/L
[1]
。
贫血的严重程度如何划分？
由于贫血的临床表现和贫血的轻重并不是对应关系，因此，贫血的轻重并不以临床表现为判断标准，而是以血红蛋白浓度的高低来划分。对于成年人：
血红蛋白浓度大于 90 g/L 为轻度贫血；
血红蛋白浓度在 60～90 g/L 之间为中度贫血；
血红蛋白浓度在 30～60 g/L 之间为重度贫血；
血红蛋白浓度低于 30 g/L 为极重度贫血
[1]
。
重度、极重度贫血会对身体健康产生严重伤害，尤其是极重度贫血，可威胁生命，需要立即纠正治疗。
诊断贫血应做哪些检查？
医生除了根据患者的症状以及家族史（了解贫血发生的遗传背景）、营养史（了解是否营养不良）、月经史（了解月经量是否正常）、既往史（了解既往是否做过手术、是否患有导致慢性失血的疾病）、用药史（是否服用可能导致贫血的药物）、危险因素暴露史（是否接触放射性元素）外，还需进行以下检查，才可诊断本病
[1]
。
外周血常规： 诊断贫血最直观最重要的检查是外周血常规，不但可以知道红细胞、血红蛋白的多少，反映贫血的程度，还可以判断红细胞的大小，粗略的分析大概产生贫血的原因
[1]
。
外周血涂片检查：可观察红细胞、白细胞、血小板数量或形态改变，判断是否有异常细胞等
[1]
。
骨髓检查： 即用穿刺针抽取部分骨髓进行化验，包括骨髓细胞涂片分类和骨髓活检。涂片分类可反映骨髓细胞生长情况、形态变化，骨髓活检主要反映骨髓造血组织的结构、细胞成分和形态变化
[1]
。
除此以外，可能还会进行血清铁、叶酸、维生素 B12含量 测定，肝肾功能检查，基因检测，大便隐血试验，内镜检查等，以明确贫血的病因
[1]
。"
先天性心脏病,"先天性心脏病最重要的最方便的检查手段是什么？
毫无疑问是
超声心动图
，也就是大家通常所说的心脏彩超。
超声心动图不仅可以看到先心病缺损或狭窄的部位，还能测算出缺损或狭窄部位的面积，对整体心脏功能进行评估，判断有无心脏扩大及心室肥厚等，还能在术后对手术效果进行评估。通常在进行先心病治疗前后必须要进行超声心动图检查。"
阴道炎,"阴道炎如何诊断?
对有症状的女性，取阴道分泌物进行白带或阴道微生态检查，可以诊断阴道炎、查明病因并确定阴道炎的类型。
必要时还需进行细菌培养加药物敏感试验。"
多囊卵巢综合征,"多囊卵巢综合征的确诊，需要做哪些检查？
体格检查：测血压、身高、体重，外观评估有无高雄激素的临床表现，了解是否有黑棘皮病。
诊断性刮宫：对于月经不规则或者闭经的患者，可以了解子宫内膜是否有增生。该检查一般在月经前数日或者来月经后六个小时内进行
[1]
。
腹腔镜检查：可以了解到患者的卵泡、卵巢包膜情况。
超声检查：可以是直肠、阴道或者子宫超声，可以检查卵巢的形态，如果有正在使用性激素类药物的，需停一个月，才能进行此类检查。
内分泌检查：主要是检查血清雄激素、血清卵泡刺激素、血清雌激素、尿 17-酮类固醇等激素的检查，可以了解患者的内分泌情况。
其他检查：肥胖患者还需进行空腹血糖和口服葡萄糖耐量实验，来评估患者的胰岛功能。
多囊卵巢综合征的诊断标准是什么？
目前多采用 2003 年鹿特丹标准诊断 PCOS
[1]
：
排卵明显减少甚至无排卵；
高雄激素的临床表现；
超声提示卵巢多囊改变。
以上三项中符合两项，并排除其他导致雄激素升高的疾病（如先天性肾上腺皮质增生、库欣综合征、分泌雄激素的肿瘤等），才可以诊断多囊卵巢综合征。
多囊卵巢综合征需要与哪些疾病进行区分鉴别？
多囊卵巢综合征在诊断时一般需要与其他可导致雄激素升高的疾病进行鉴别，如库欣综合征、分泌雄激素的肿瘤等。
库欣综合征：两者都有月经周期紊乱和多毛的表现，但库欣综合征患者有典型的满月脸特征，即脸圆呈暗红色，锁骨上窝、颈背部和腹部脂肪脂肪多
[5]
。
分泌雄激素的肿瘤：如卵巢门细胞瘤，两者都有雄激素分泌过多的表现即多毛、长痤疮等表现，可通过超声、CT 等来协助诊断肿瘤
[5]
。"
宫颈癌,"宫颈癌是如何诊断的？
医生一般会先询问患者出现的症状、病史等，而后会进行以下检查：
体格检查：通过对外生殖器及阴道的彻底检查来初步判断是否发生病变
[1]
。
巴氏涂片：是筛查宫颈癌最重要的工具
[1]
。
阴道镜检查 + 宫颈活检： 阴道镜下观察宫颈表面病变状况，选择可疑癌变区进行活组织检查
[1]
。
宫颈脱落细胞学检查（TCT）：可以初步判断有没有宫颈癌或癌前病变的可能。
被确诊为宫颈癌时，任何人都会感到难以接受。此刻家人朋友一定要给予患者足够的支持与陪伴，和她们一起应对，帮助她们调整心态，尽快投入到治疗当中。
宫颈癌如何分期？
医生会在开始治疗宫颈癌之前对其进行分期，主要依据的是肿瘤的位置、肿瘤的大小，以及周围组织的受侵情况。主要有以下四期
[4]
：
I 期，肿瘤局限在子宫颈；
II 期，肿瘤超越宫颈，但未达骨盆壁，或未达阴道下 1/3；
ⅡA：肿瘤侵犯阴道上 2/3；
ⅡA1：肉眼可见病灶 ≤ 4 cm；
ⅡA2：肉眼可见癌灶 > 4 cm；
ⅡB：有明显的宫旁浸润，但是未达到盆壁。
III 期，肿瘤已经扩展到骨盆壁，在进行直肠指诊时，在肿瘤和盆壁之间无间隙；肿瘤累及阴道下 1/3、由肿瘤原因引起的肾盂积水或肾无功能的病例。其中肿瘤累及阴道下 1/3，没有扩散到盆骨壁的为 ⅢA；肿瘤扩展到盆骨壁，或已经出现了肾盂积水或肾无功能为 ⅢB。
IV 期，肿瘤超过了真骨盆范围，或侵犯膀胱，或直肠黏膜。其中肿瘤已侵犯临近的盆腔器官为 ⅣA，远处转移为 ⅣB。
肿瘤越小，所在的宫颈位置越表浅，没有远处转移或者扩散，分期越早，治疗效果越好。"
HPV感染,"HPV感染如何诊断？
医生根据患者的临床症状，询问患者是否存在高危性生活史、有无与 HPV 感染者的直接、间接接触途径，结合相关检查（细胞学检查、阴道镜检查、组织病理学检查）结果以诊断是否感染 HPV。
HPV 感染怎么检测？
目前仅对宫颈标本和口咽癌活检标本进行 HPV-DNA 分型检测，检测有无 HPV 感染。对宫颈标本进行 HPV 检测主要是为了筛查宫颈癌，对口咽癌活检标本进行 HPV 检测主要是为了确定口咽癌的分期和预后。
虽然阴道、阴茎、肛门、口咽等其他部位也可以进行 HPV 检测，但目前尚不推荐对这些部位进行常规的 HPV 检测，仅在某些特殊情况可以考虑检测。
目前也没有有效的方法通过血液检测有无 HPV 感染。
HPV 感染后多久能检查出来？
回答这个问题之前要先搞清楚为什么要检查 HPV 感染。
大部分人感染了 HPV 之后都不会发病，身体也可以自行将 HPV 清除。这种情况下，即使检查出 HPV 阳性，也无需治疗；即使检查出 HPV 阴性，也不代表没感染过。所以不建议「随心所欲」地、短期多次地检查有无 HPV 感染，浪费时间精力且无实际意义。
之所以建议女性定期进行 HPV 检测（下文会介绍具体的检测间隔时间），是为了评估有无宫颈癌可能。当发现 HPV 阳性且有宫颈癌前病变时，可以采取一些治疗措施，防止宫颈癌前病变发展成宫颈癌。
HPV 感染的确切时间很难确定，且随意地检查有没有 HPV 感染意义不大，所以如果没有不适症状，只是怀疑自己感染了 HPV，没必要去进行 HPV 检测。还是建议定期进行 HPV 检测或在有症状时进行检查。
HPV 感染需要做什么检查？为什么要做这些检查？
细胞学检查
：如宫颈脱落细胞学检查（TCT），使用特定毛刷采集患者脱落的宫颈细胞，经处理后进行显微镜下观察，可以发现癌细胞及高低级别病变的鳞状上皮细胞、病变的腺上皮细胞、子宫颈管细胞、子宫内膜细胞等，常与 HPV-DNA 分型检测同时检测。
HPV-DNA 分型检测
：采取病变标本后进行 HPV 的基因型检测，主要检测方法有二代杂交捕获技术、酶切信号放大技术、荧光 PCR 技术及 RNA 逆转录扩增法，以确定感染 HPV 的具体型别
[1]
。
阴道镜下病理活检
：医生在阴道镜下观察患者宫颈病变情况，采取可疑的病变组织，固定好进行病理学检查以确定宫颈病变的性质。"
月经失调,"月经失调怎么诊断？
月经失调主要是根据患者的临床表现，要明确月经失调的原因，还需要进行一系列辅助检查。
月经失调患者需要做哪些检查？
基本妇科检查
包括盆腔内诊检查、白带检查、子宫附件超声检查、性激素内分泌六项检查、宫颈液基细胞学检查等。检查目的是为了观察女性内分泌有无紊乱、相关器官有无器质性病变等。
宫腔镜检查
主要是用于检查子宫腔内的情况，通过专业的检查工具可以观察到子宫腔内壁的情况。
其他检查
主要是对其他生命体征或者其他器官的检查，如甲状腺、肾上腺、血压、血糖等检查。检查目的是排除其他疾病的可能。"
生殖器疱疹,"生殖器疱疹如何诊断？
生殖器疱疹需根据患者的流行病学史、临床表现和实验室检查的结果进行分析
[3]
：
流行病学史
：患者不安全性行为（多性伴侣、有婚外性行为等）、性伴侣有感染史等流行病学史。
临床表现
：患者生殖器和肛门部位皮肤出现疼痛性的丘疹、水疱、脓疱、溃疡等。
实验室检查
：
病毒分离培养法：是生殖器疱疹实验室诊断的「金标准」，医生会在皮损处、尿道内、宫颈管取分泌物进行培养，一般需要 2～4 天，也可能长达 14 天。
改良的病毒分离培养法：与病毒分离培养法类似，但会通过离心缩短时间，一般 48 小时内出结果。
细胞学检查：在皮损处取分泌物进行检查
[1]
。
生殖器疱疹需要与哪些疾病进行区分？
生殖器疱疹应与其他具有生殖器溃疡表现的疾病进行鉴别，如硬下疳、软下疳等：
硬下疳（一期梅毒）：硬下疳与生殖器疱疹都发生于生殖器，且都可能造成溃疡，但硬下疳一般为单个圆形溃疡，边界清楚，略高于皮面。可以通过电子显微镜检查进行鉴别，硬下疳镜下可观察到梅毒螺旋体；生殖器疱疹则不会
[1,3]
。
软下疳：软下疳与生殖器疱疹都发生于生殖器，且都可能造成溃疡，但软下疳典型生殖器表现是深在的、潜行性、化脓性溃疡，并且可能伴有疼痛性腹股沟淋巴结炎。通过图片显微镜检查和细菌培养可以检出杜克雷嗜血杆菌，而生殖器疱疹为病毒感染
[3]
。
白塞病：75％ 的白塞病患者会出现生殖器溃疡（ 每 100 个白塞病患者有 75 人可能出现生殖器溃疡），所以易与生殖器疱疹混淆。但白塞病出现的生殖器溃疡大而深，持续时间也比较长，通过实验室检查查不到单纯疱疹病毒或梅毒螺旋体等，以此可以鉴别白塞病及生殖器疱疹
[3]
。"
子宫肌瘤,"子宫肌瘤的检查方法有哪些？
妇科检查：可以查看到子宫是否有增大和结节状突起，做初步的诊断。
B 型超声：是常用的检查方法，能区分子宫肌瘤及其他盆腔肿块，多能明确诊断。
磁共振（MRI）：可准确判断肌瘤的大小、数目和位置，可检测出 0.5cm 大小的肌瘤，对于肌瘤的各种变性如玻璃样变、钙化等也可以清晰得显示，也可以排除子宫腺肌病。
盐水灌注超声：在宫腔内注入生理盐水，通过盆腔超声，可以识别黏膜下病变，并可以确定肌瘤突入宫腔的程度。
宫腔镜：与盐水灌注超声相似，可评估黏膜下肌瘤或突入宫腔的肌瘤，并可确定突入程度。
子宫肌瘤做 B 超结果为什么会有误差？
B 超结果显示的子宫肌瘤大小存在误差，主要是三方面的原因：
子宫肌瘤大多是一个不规则的类圆形，因此每条径线的长度都是不同的，而每次 B 超检查医生不可能选择到同一条径线进行测量；
B 超本身的测量误差，没有一种测量工具和方法是没有误差的；
肌瘤可能存在短期内迅速增长导致结果出现误差。
子宫肌瘤容易和哪些疾病相混淆？如何区分？
子宫肌瘤容易和子宫腺肌瘤、子宫腺肌病等相混淆。
子宫腺肌瘤：两者都有月经量增多和下腹疼痛的表现。这是两种不同的疾病，都是良性的，区别在于子宫肌瘤边界清晰，可以完整剔除。子宫腺肌瘤属于子宫内膜异位症，多会导致痛经，边界不清，不能完整剔除。
子宫腺肌病：和本病相似，都有月经量变多、月经周期变长和下腹疼痛的表现。子宫腺肌病患者的血清 CA125 水平高于子宫肌瘤患者，同时子宫腺肌病患者子宫一般不会有妊娠三个月那么大。"
卵巢癌,"卵巢癌为什么一般发现的时候都是晚期？
卵巢位置较深，卵巢癌早期症状不明显，通常待肿瘤体积增大、腹部扪及肿块或肿块压迫周围组织出现不适时才被发现。
被确诊为卵巢癌时，任何人都会感到难以接受。此刻家人朋友一定要给予患者足够的支持与陪伴，和他们一起应对，帮助她们调整心态，尽快投入到治疗当中。
卵巢癌可疑人群应该去医院哪个科室就诊？
最佳选择是妇产科（妇科肿瘤科），也有可能确诊后直接于肿瘤科就诊。
卵巢癌确诊需要做哪些检查？
怀疑为卵巢疾病时，应行盆腔彩超、CT 或 MRI 了解卵巢部位是否可见肿块，同时结合病史、肿瘤标志物升高情况来判断其良恶性。
但卵巢癌的确诊仍需病理结果来决定，病理结果能够提供肿瘤的良恶性、病理类型、分化程度等详细信息，指导后续治疗。
卵巢癌可能与哪些疾病混淆？
卵巢瘤样病变、输卵管卵巢囊肿、子宫肌瘤、腹腔积液、子宫内膜异位症、结核性腹膜炎、生殖道以外的腹膜后肿瘤、直肠癌、乙状结肠癌等疾病，症状可能和卵巢癌相似。
需要通过体检、B 超、CT 等等检查手段甚至手术中取出对病变组织进行检查分类（活检）明确诊断，对于治疗和了解疾病的恶性程度，提高患者的生存机会都是有帮助的。"
癌前病变,"癌前病变患者在什么情况下应该前往医院就诊？
若出现口腔、食管、外阴、阴茎、皮肤黄染、腹痛、便血及其他不适情况，都应到医院就诊。
癌前病变患者需要做哪些检查？
内镜检查：胃镜、肠镜检查可以直接观察到食管、胃壁、肠壁的情况，是否存在溃疡、异常增生、息肉、炎症等状况。若存在异常情况，需要提取病变部位的组织进行组织病理检查。胃镜前一天十点至检查前要禁食，既不要吃饭，也不要喝水。肠镜检查三天前要食用少渣或无渣的食物如软饭、馒头、炖烂的肉、豆腐、去皮瓜类、土豆，检查当天不要饮食。如果选择无痛胃肠镜检查，需要家属陪同。
组织病理检查：提取病变部位的组织，进行组织病理学检查，可以确定病变组织病变的类型，同时可以鉴别是否为恶性病变。提取病变组织时会有痛感，但一般都能够承受得住。
大便常规：此检查用于消化道系统疾病的检验，若检查结果显示白细胞增多提示肠道炎症，若大便潜血阳性则说明存在消化道出血。大便标本一般采集手指头大小的新鲜粪便，尽可能挑取有黏液、脓血等异常成分的粪便，尽快送检。
B 超检查：乳腺肿块首选的检查就是 B 超检查，这种检查无痛苦，可多次检查，能够看到乳腺内有没有炎性病变、占位性病变。
血常规：血常规可以检查出身体当前的基本健康状态，比如是否存在炎症、贫血等。此项检查没有特殊要求，抽血时会有痛感。"
不孕症,"不孕症患者就诊时需要提供给医生哪些资料？
婚育史
：怀孕了几次、生育过几个孩子（存活了几个）、有没有流产过、有没有过剖宫产、有无宫外孕史（如果有，采用何种方式处理的）等。
性生活情况
：性生活频率和时间、有没有采取避孕措施等。
月经史
：初潮年龄、月经周期、末次月经日期、是否痛经等信息。
用药史
：即长期用药的情况。
既往史
：过去是否有重大的内外科疾病、是否患过结核、生殖器炎症及其他内分泌疾病及腹部手术史。
家族史
：即家庭成员的健康情况。
以前的就诊病历，以及辅助检查的资料等。
不孕症女性患者就诊时医生会进行哪些检查？
体格检查
：身高与体重、生长发育、各种畸形特征、乳房有无溢乳、男性化、多毛等。
妇科检查
：检查外生殖器的发育情况、是否有畸形等。
超声检查
：看子宫、卵巢、输卵管是否有形态、结构上的器质性病变。
卵巢功能检查
：根据需要进行月经各时期的卵巢激素检测。
输卵管通畅性检查
：通常是做子宫输卵管造影。
腹腔镜检查
：一般适用于有输卵管因素、子宫内膜异位症或所谓不明原因不孕的女性，且前提是男方精液检查正常。另外，还适用于试管婴儿前切除或结扎输卵管积水，提高成功率。
如有必要，还会做甲状腺功能、肾上腺皮质功能及其他内分泌功能检查，以及胸片、垂体磁共振扫描等检查，以排除能引起不孕的其他相关疾病。
不孕症患者怎样预测排卵？
可以通过以下一些方法来预测：
基础体温监测
：需要连续每天在同一时间测基础体温，即在清晨没有进行任何活动时测量体温。若基础体温升高 0.5 度左右，则有可能已发生排卵。
观察宫颈黏液
：就是看白带的情况，如果白带增多且呈透明拉丝状也是排卵的征兆之一。
排卵试纸
：相对准确的方法是利用排卵试纸检测，若检测尿液后呈阳性，则很可能在 36 小时内排卵。
B 超
：最准确的方法就是到医院做 B 超监测排卵了。
什么是基础体温？如何测量基础体温？
人体处在清醒而又非常安静，不受肌肉活动、精神紧张、食物及环境温度等因素影响时的状态叫做「基础状态」，基础状态下的体温，就叫做「基础体温」。
基础体温通常在早晨起床、没有进行任何活动时测量。
由于坚持测量有难度，太过关注这件事还会影响排卵，所以现在不太推荐基础体温测量法来预估排卵日。
不孕症患者的哪些检查可以判断输卵管是否通畅？
子宫输卵管造影。
B 超观察下进行的输卵管通液术。
腹腔镜检查。
不孕症可疑女性需要测定抗缪勒氏管激素（AMH）水平吗？
意义不大。
AMH 由早期卵泡分泌。女性从出生开始，卵泡的数量就不再增长，随着年龄的增长，可用于生育的卵泡数量会越来越少，AMH 水平也随之逐渐下降。当卵泡枯竭后（比如绝经之后），体内就检测不到 AMH 了。即 AMH 水平在青春期至大约 25 岁前处于上升，之后逐渐下降，卵泡数是从出生就开始下降的。
AMH 数值与年龄密切相关，但用不同厂家试剂检查的数值不能直接比对，且还存在个体差异，因此很难给出具体的数值来说明卵巢储备好坏或预测体外助孕的成功率。临床实践当中，一般也不建议动态监测 AMH 数值来评估卵巢储备，这么做的意义不大。"
性高潮障碍,"性高潮障碍怎么进行确定？
性高潮障碍的诊断标准要点如下：
在大部分（≥ 75%）性行为中，存在下列两种症状中的任意一种：
性高潮明显延迟、频率明显减少或缺失；
性高潮感的强度明显降低。
症状已至少持续约 6 个月。
症状导致个体出现明显的主观痛苦和厌烦。
不能用其他疾病或因素来解释性高潮障碍：比如非性方面的精神障碍（如抑郁症），严重关系问题（如伴侣暴力），其他重大应激事件（如婚姻或家庭重大负面事件）、药物作用（如选择性 5- 羟色胺再摄取抑制剂或第一代抗精神病药）或其他躯体疾病（如多发硬化、酒精中毒、盆腔手术等）。
性高潮障碍应该与哪些情况进行区分、鉴别？
性高潮障碍的鉴别诊断包括：
药物和物质导致的疾病：如多发性硬化、酒精中毒等；
医源性病因：包括 5- 羟色胺能抗抑郁药及盆腔手术等；
其他精神障碍：如重性抑郁等。"
先兆流产,"先兆流产需要做哪些检查才能诊断？
通常根据患者的停经史、阴道出血、腹痛等临床表现即可诊断，有时需结合妇科 B 超、血 hCG、尿 hCG 等辅助检查来明确诊断。
先兆流产容易与哪些疾病混淆？
宫外孕
：与先兆流产都有停经史、阴道出血、腹痛等症状，但 B 超示子宫内无胚胎，宫外有包块或孕囊。
葡萄胎
：患者有停经史、阴道出血，伴腹痛、恶心呕吐，宫体大小多大于孕周，血 hCG 明显升高，B 超检查示宫内水泡状胎块或胎儿不可见，代之以弥漫分布的蜂窝状无回声区，境界不清。
难免流产
：一般多由先兆流产发展而来，表现为阴道出血量继续增多，腹痛加剧，宫口扩张，流产难以避免。"
妊娠期糖尿病,"妊娠期糖尿病如何诊断？
在妊娠 24～28 周，孕妇需要进行口服葡萄糖耐量试验（OGTT）。
禁食 8 小时后抽血测空腹血糖，然后在 5 分钟内喝下含 75 克葡萄糖的液体 300 mL，抽取服糖后 1 小时、2 小时的静脉血检测血糖水平。
如果空腹血糖 ≥ 5.1 mmol/L，或服糖后 1 小时血糖 ≥ 10.0 mmol/L，或服糖后 2 小时血糖 ≥ 8.5 mmol/L，即可诊断为妊娠期糖尿病。
妊娠期糖尿病可以根据口服葡萄糖耐量试验（OGTT）检查结果排除吗？
如果孕妇具有肥胖、羊水过多等高危因素，即使首次 OGTT 正常也不能完全排除妊娠期糖尿病可能，需在妊娠晚期重复 OGTT，两次 OGTT 都正常才能排除妊娠期糖尿病。"
羊水过少,
不孕症,"不孕症患者就诊时需要提供给医生哪些资料？
婚育史
：怀孕了几次、生育过几个孩子（存活了几个）、有没有流产过、有没有过剖宫产、有无宫外孕史（如果有，采用何种方式处理的）等。
性生活情况
：性生活频率和时间、有没有采取避孕措施等。
月经史
：初潮年龄、月经周期、末次月经日期、是否痛经等信息。
用药史
：即长期用药的情况。
既往史
：过去是否有重大的内外科疾病、是否患过结核、生殖器炎症及其他内分泌疾病及腹部手术史。
家族史
：即家庭成员的健康情况。
以前的就诊病历，以及辅助检查的资料等。
不孕症女性患者就诊时医生会进行哪些检查？
体格检查
：身高与体重、生长发育、各种畸形特征、乳房有无溢乳、男性化、多毛等。
妇科检查
：检查外生殖器的发育情况、是否有畸形等。
超声检查
：看子宫、卵巢、输卵管是否有形态、结构上的器质性病变。
卵巢功能检查
：根据需要进行月经各时期的卵巢激素检测。
输卵管通畅性检查
：通常是做子宫输卵管造影。
腹腔镜检查
：一般适用于有输卵管因素、子宫内膜异位症或所谓不明原因不孕的女性，且前提是男方精液检查正常。另外，还适用于试管婴儿前切除或结扎输卵管积水，提高成功率。
如有必要，还会做甲状腺功能、肾上腺皮质功能及其他内分泌功能检查，以及胸片、垂体磁共振扫描等检查，以排除能引起不孕的其他相关疾病。
不孕症患者怎样预测排卵？
可以通过以下一些方法来预测：
基础体温监测
：需要连续每天在同一时间测基础体温，即在清晨没有进行任何活动时测量体温。若基础体温升高 0.5 度左右，则有可能已发生排卵。
观察宫颈黏液
：就是看白带的情况，如果白带增多且呈透明拉丝状也是排卵的征兆之一。
排卵试纸
：相对准确的方法是利用排卵试纸检测，若检测尿液后呈阳性，则很可能在 36 小时内排卵。
B 超
：最准确的方法就是到医院做 B 超监测排卵了。
什么是基础体温？如何测量基础体温？
人体处在清醒而又非常安静，不受肌肉活动、精神紧张、食物及环境温度等因素影响时的状态叫做「基础状态」，基础状态下的体温，就叫做「基础体温」。
基础体温通常在早晨起床、没有进行任何活动时测量。
由于坚持测量有难度，太过关注这件事还会影响排卵，所以现在不太推荐基础体温测量法来预估排卵日。
不孕症患者的哪些检查可以判断输卵管是否通畅？
子宫输卵管造影。
B 超观察下进行的输卵管通液术。
腹腔镜检查。
不孕症可疑女性需要测定抗缪勒氏管激素（AMH）水平吗？
意义不大。
AMH 由早期卵泡分泌。女性从出生开始，卵泡的数量就不再增长，随着年龄的增长，可用于生育的卵泡数量会越来越少，AMH 水平也随之逐渐下降。当卵泡枯竭后（比如绝经之后），体内就检测不到 AMH 了。即 AMH 水平在青春期至大约 25 岁前处于上升，之后逐渐下降，卵泡数是从出生就开始下降的。
AMH 数值与年龄密切相关，但用不同厂家试剂检查的数值不能直接比对，且还存在个体差异，因此很难给出具体的数值来说明卵巢储备好坏或预测体外助孕的成功率。临床实践当中，一般也不建议动态监测 AMH 数值来评估卵巢储备，这么做的意义不大。"
